-1,Drowned a puppy,A noyé un chiot
-1,Punched a kid,A frappé un enfant
-1,Stole a TV,A volé une télé
-1,Broke a friend's car,A cassé la voiture de son ami
-1,Burned a baby,A brulé un bébé
-1,Cheated on his lover,A trompé sa femme
-1,Downloaded a game illegaly,A téléchargé illégalement un jeu
-1,Didn't pay his taxes,N'a pas payé ses taxes
-1,Didn't recycle,N'a pas recyclé
-1,Drank the holy water,A bu de l'eau bénite
0,Lost the lottery,A perdu la lotterie
0,Played the piano,Jouais du piano
0,Listen to the birds,Écoutais les oiseaux
0,Talked in his sleep,Parlait dans son sommeil
0,Bought a dishwasher,A acheté un lave-vaisselle
0,Was afraid of spiders,Avait peur des araignées
0,Was allergic to puppies,Était allergique aux chiots
0,Went to a great concert,Est allé à un super concert
0,Ran a marathon,A couru un marathon
0,Hated country music,Détestais la musique country
1,Held the door,A tenu la porte
1,Washed the dishes,A fais la vaisselle
1,Bought a present for his cousin,A acheté un cadeau pour son cousin
1,Says thank you to the baker,Remerciait le boulanger
1,Went to the church,Allait à l'église
1,Cooked for his sick mother,Cuisinais pour sa mère malade
1,Gave money to a child,A donné de l'agent à un enfant
1,Was faithful to his lover,Était fidèle à sa femme
1,Saved a baby in a fire,A sauvé un bébé d'un incendie
1,Discovered a vaccine,A découvert un vaccin
